algorithm	localsearch	alpha	beta	rho	ants	q0	rasrank	elitistants	nnls	dlb
"mmas"	"3"	3.14	2.92	0.11	21	NA	NA	NA	15	"0"
"mmas"	"3"	2.51	6.98	0.47	29	NA	NA	NA	8	"0"
"acs"	"3"	2.28	4.95	0.58	46	0.66	NA	NA	44	"1"
"eas"	"3"	2.4	3.62	0.42	74	NA	NA	263	43	"1"
"acs"	"3"	3.02	9.87	0.79	38	0.21	NA	NA	37	"1"
"mmas"	"3"	3.78	1.16	0.13	31	NA	NA	NA	20	"1"
"acs"	"3"	2.93	1.62	0.64	59	0.4	NA	NA	28	"0"
"acs"	"3"	2.68	5.09	0.86	18	0.16	NA	NA	10	"0"
"acs"	"3"	2.84	1.6	0.61	60	0.62	NA	NA	9	"1"
"acs"	"3"	3.16	9.87	0.66	38	0.1	NA	NA	41	"0"
"acs"	"3"	2.5	7.33	0.89	29	0.06	NA	NA	15	"1"
"mmas"	"3"	4.68	2.94	0.14	32	NA	NA	NA	27	"0"
"acs"	"3"	3.39	4.71	0.13	44	0.12	NA	NA	17	"1"
"acs"	"3"	1.59	4.35	0.79	51	0.79	NA	NA	23	"0"
"mmas"	"3"	3.22	2.62	0.22	49	NA	NA	NA	25	"0"
"acs"	"3"	3.36	4.55	0.12	44	0.34	NA	NA	24	"1"
"acs"	"3"	2.65	7.07	0.15	28	0.13	NA	NA	17	"1"
"acs"	"3"	3.31	4.74	0.24	50	0.03	NA	NA	21	"1"
"acs"	"3"	1.74	3.68	0.97	57	0.79	NA	NA	17	"0"
"acs"	"3"	1.75	3.26	0.89	58	0.79	NA	NA	19	"0"
"acs"	"3"	3.6	4.93	0.07	40	0.4	NA	NA	24	"1"
"acs"	"3"	1.74	3.66	0.94	59	0.88	NA	NA	13	"0"
"acs"	"3"	3.27	4.33	0.1	43	0.45	NA	NA	25	"1"
"acs"	"3"	2.42	6.24	0.36	35	0.65	NA	NA	42	"1"
"acs"	"3"	2.08	6.28	0.76	19	0.16	NA	NA	23	"0"
"acs"	"3"	4.43	4.71	0.11	58	0.82	NA	NA	10	"1"
"acs"	"3"	2.78	8.18	0.97	20	0.21	NA	NA	20	"0"
"acs"	"3"	4.05	4.75	0.44	20	0.49	NA	NA	23	"0"
"acs"	"3"	3.31	6.23	0.08	19	0.87	NA	NA	25	"0"
"acs"	"3"	2.76	3.17	0.48	42	0.41	NA	NA	29	"0"
"mmas"	"3"	3.23	5.81	0.21	19	NA	NA	NA	38	"0"
"acs"	"3"	2.01	7.32	0.97	42	0.34	NA	NA	26	"0"
"acs"	"3"	4.66	3.46	0.19	62	0.86	NA	NA	11	"0"
"acs"	"3"	2.39	5.31	0.1	20	0.68	NA	NA	26	"0"
"acs"	"3"	1.94	7.21	0.15	15	0.75	NA	NA	21	"0"
"acs"	"3"	2.12	4.7	0.16	31	0.47	NA	NA	29	"0"
"acs"	"3"	2	3.8	0.15	19	0.5	NA	NA	13	"0"
"acs"	"3"	2.21	2.84	0.14	29	0.44	NA	NA	22	"0"
"acs"	"3"	1.89	6.12	0.14	29	0.77	NA	NA	22	"0"
"acs"	"3"	2.1	5.17	0.18	27	0.45	NA	NA	23	"0"
"acs"	"3"	2.38	3.19	0.08	26	0.43	NA	NA	22	"0"
"mmas"	"3"	3.13	5.44	0.19	20	NA	NA	NA	39	"0"
"mmas"	"3"	3.86	6.79	0.41	53	NA	NA	NA	45	"0"
"mmas"	"3"	2.83	4.33	0.28	33	NA	NA	NA	14	"0"
"acs"	"3"	4.86	0.89	0.25	6	0.34	NA	NA	13	"1"
"acs"	"3"	3.79	2.1	0.42	59	0.81	NA	NA	29	"0"
"acs"	"3"	4.44	3.94	0.21	58	0.88	NA	NA	47	"1"
"acs"	"3"	1.93	0.22	0.96	43	0.37	NA	NA	10	"1"
"acs"	"3"	2.64	7.93	0.66	53	0.69	NA	NA	12	"0"
"acs"	"3"	3.35	5.76	0.2	53	0.67	NA	NA	36	"0"
"acs"	"3"	4.03	4.68	0.34	58	0.61	NA	NA	24	"0"
"acs"	"3"	2.39	7.82	0.43	40	0.86	NA	NA	11	"0"
"acs"	"3"	4.73	3.94	0.45	71	0.61	NA	NA	23	"0"
"acs"	"3"	4.25	5.04	0.27	59	0.67	NA	NA	21	"0"
"acs"	"3"	2.43	9.23	0.59	40	0.42	NA	NA	15	"0"
"acs"	"3"	4.38	6.89	0.14	50	0.6	NA	NA	33	"0"
"acs"	"3"	4.2	3.82	0.64	66	0.23	NA	NA	16	"0"
"acs"	"3"	4	6.6	0.31	54	0.47	NA	NA	40	"0"
"acs"	"3"	2.15	9.28	0.59	43	0.49	NA	NA	10	"0"
"acs"	"3"	3.62	5.47	0.18	53	0.68	NA	NA	18	"0"
"acs"	"3"	2.37	8.4	0.66	42	0.3	NA	NA	9	"0"
"acs"	"3"	3.59	6.43	0.18	51	0.61	NA	NA	17	"0"
"acs"	"3"	2.16	8.59	0.57	45	0.52	NA	NA	10	"0"
"acs"	"3"	2.41	9.54	0.7	42	0.24	NA	NA	10	"0"
"acs"	"3"	3.4	7.25	0.21	46	0.61	NA	NA	16	"0"
"ras"	"3"	4.34	0.49	0.94	85	NA	15	NA	35	"0"
"acs"	"3"	3.36	2.28	0.22	55	0.86	NA	NA	8	"0"
"acs"	"3"	4.58	2.88	0.02	37	0.75	NA	NA	16	"0"
"acs"	"3"	2.79	5.35	0.15	36	0.09	NA	NA	15	"0"
"ras"	"3"	4.08	2.26	0.98	92	NA	35	NA	32	"0"
"acs"	"3"	3.2	5.1	0.58	56	0.67	NA	NA	10	"0"
"ras"	"3"	3.56	1.45	0.88	94	NA	25	NA	23	"0"
"acs"	"3"	4.59	4.08	0.2	64	0.88	NA	NA	11	"0"
"acs"	"3"	2.62	6.03	0.16	34	0.1	NA	NA	20	"0"
"acs"	"3"	4.68	2.78	0.07	54	0.79	NA	NA	18	"0"
"ras"	"3"	2.72	2.04	0.97	86	NA	15	NA	22	"0"
"ras"	"3"	2.98	2.42	0.94	89	NA	27	NA	23	"0"
"acs"	"3"	4.76	3.64	0.03	45	0.76	NA	NA	11	"0"
"acs"	"3"	4.75	4.36	0.03	41	0.76	NA	NA	9	"0"
"ras"	"3"	2.47	1.18	0.87	82	NA	18	NA	20	"0"
"acs"	"3"	4.47	3.01	0.02	33	0.75	NA	NA	16	"0"
"acs"	"3"	4.56	4.6	0.05	46	0.8	NA	NA	9	"0"
"acs"	"3"	4.46	4.45	0.08	51	0.78	NA	NA	11	"0"
"mmas"	"3"	0.89	4.15	0.79	11	NA	NA	NA	50	"1"
"acs"	"3"	4.25	6.49	0.19	28	0.35	NA	NA	14	"0"
"ras"	"3"	4.91	0.01	0.12	16	NA	13	NA	26	"0"
"mmas"	"3"	2.88	4.7	0.4	37	NA	NA	NA	22	"1"
"acs"	"3"	3.74	9.85	0.69	66	0.25	NA	NA	11	"1"
"acs"	"3"	4.04	8.24	0.79	65	0.24	NA	NA	25	"1"
"acs"	"3"	1.95	5.4	0.51	41	0.23	NA	NA	13	"1"
"acs"	"3"	3.69	6.86	0.08	39	0.34	NA	NA	32	"1"
"acs"	"3"	4.6	3.12	0.12	47	0.48	NA	NA	15	"0"
"acs"	"3"	2.82	4.78	0.37	48	0.26	NA	NA	31	"1"
"acs"	"3"	3.99	5.07	0.08	41	0.05	NA	NA	8	"0"
"acs"	"3"	3.93	4.17	0.02	11	0.27	NA	NA	12	"0"
"acs"	"3"	4.16	7.4	0.04	33	0.26	NA	NA	33	"1"
"acs"	"3"	4.07	6.08	0.04	36	0.05	NA	NA	7	"0"
"acs"	"3"	2.85	6.81	0.54	38	0.43	NA	NA	20	"0"
"acs"	"3"	3.36	8.86	0.14	32	0.45	NA	NA	34	"1"
"acs"	"3"	4.07	4.11	0.09	48	0.04	NA	NA	8	"0"
"acs"	"3"	4.19	7.06	0.07	40	0.07	NA	NA	10	"0"
"acs"	"3"	4.38	6.63	0.05	29	0.03	NA	NA	11	"0"
"acs"	"3"	4.03	5.66	0.05	38	0.03	NA	NA	12	"0"
"acs"	"3"	3.86	5.97	0.09	41	0.06	NA	NA	11	"0"
"acs"	"3"	3.63	6.41	0.11	41	0.04	NA	NA	11	"0"
"acs"	"3"	4.23	7.46	0.04	33	0.07	NA	NA	12	"0"
"acs"	"3"	3.69	5.15	0.06	40	0.14	NA	NA	11	"0"
"acs"	"3"	4.19	6.56	0.05	36	0.11	NA	NA	10	"0"
"acs"	"3"	4.22	7.53	0.04	34	0.04	NA	NA	10	"0"
"acs"	"3"	3.98	6.23	0.1	42	0.13	NA	NA	10	"0"
"acs"	"3"	4.32	6.75	0.06	37	0.07	NA	NA	8	"0"
"acs"	"3"	3.81	5.75	0.08	40	0.14	NA	NA	10	"0"
"ras"	"3"	3.44	3.28	0.96	87	NA	72	NA	37	"0"
"acs"	"3"	2.04	1.09	0.87	6	0.74	NA	NA	16	"1"
"eas"	"3"	4.77	6.87	0.27	41	NA	NA	376	47	"1"
"acs"	"3"	1.6	4.15	0.14	11	0.57	NA	NA	30	"0"
"acs"	"3"	2.9	8.5	0.59	43	0.44	NA	NA	18	"1"
"ras"	"3"	3.71	5.1	0.98	79	NA	37	NA	37	"1"
"ras"	"3"	3.57	7.47	0.71	33	NA	13	NA	22	"1"
"acs"	"3"	3.16	2.62	0.93	20	0.35	NA	NA	21	"1"
"acs"	"3"	4.64	2.54	0.52	9	0.04	NA	NA	18	"1"
"acs"	"3"	2.62	3.88	0.87	28	0.23	NA	NA	22	"0"
"acs"	"3"	2.8	2.44	0.88	40	0.13	NA	NA	11	"0"
"acs"	"3"	3.78	1.75	0.49	23	0.15	NA	NA	14	"1"
"acs"	"3"	1.9	3.98	0.8	39	0.54	NA	NA	18	"0"
"acs"	"3"	2.17	2.07	0.94	51	0	NA	NA	13	"0"
"acs"	"3"	2.02	2.77	0.84	45	0.13	NA	NA	15	"0"
"acs"	"3"	2.87	6.23	0.77	44	0.28	NA	NA	25	"0"
"acs"	"3"	2.44	6.95	0.75	47	0.08	NA	NA	27	"0"
"acs"	"3"	2.29	2.12	0.94	48	0.17	NA	NA	11	"0"
"acs"	"3"	2.03	3.67	0.83	49	0.03	NA	NA	11	"0"
"acs"	"3"	2.27	2.24	0.98	49	0.01	NA	NA	10	"0"
"acs"	"3"	2.36	2.43	0.91	53	0.04	NA	NA	14	"0"
"acs"	"3"	2.3	1.22	0.97	47	0.05	NA	NA	10	"0"
"acs"	"3"	2.57	7	0.74	46	0.07	NA	NA	20	"0"
"acs"	"3"	2.19	2.17	1	50	0.04	NA	NA	10	"0"
"acs"	"3"	2.45	6.53	0.76	44	0.14	NA	NA	17	"0"
"acs"	"3"	2.29	2.76	0.94	46	0.03	NA	NA	9	"0"
"acs"	"3"	2.06	2.6	0.99	49	0.06	NA	NA	9	"0"
"acs"	"3"	2.12	2.45	0.99	46	0.02	NA	NA	13	"0"
"acs"	"2"	4.03	7.06	0.81	66	0.64	NA	NA	23	"1"
"mmas"	"3"	3.02	5.97	0.3	68	NA	NA	NA	6	"1"
"acs"	"3"	3.16	0.79	0.86	63	0.6	NA	NA	16	"1"
"acs"	"3"	2.55	2.81	0.56	40	0.53	NA	NA	29	"1"
"acs"	"3"	3.57	7.45	0.65	56	0.72	NA	NA	21	"0"
"acs"	"3"	4.03	6.21	0.93	6	0.65	NA	NA	28	"1"
"acs"	"3"	2.44	5.42	0.67	55	0.52	NA	NA	8	"1"
"acs"	"3"	2.83	9.28	0.71	53	0.75	NA	NA	29	"0"
"acs"	"3"	2.62	7.26	0.81	64	0.79	NA	NA	10	"0"
"acs"	"3"	3.48	9.48	0.5	54	0.57	NA	NA	20	"0"
"acs"	"3"	2.98	5.97	0.65	62	0.46	NA	NA	7	"1"
"acs"	"3"	1.5	4.17	1	37	0.55	NA	NA	19	"1"
"acs"	"3"	2.98	6.44	0.83	65	0.64	NA	NA	9	"0"
"acs"	"3"	2.69	9.13	0.42	48	0.65	NA	NA	16	"0"
"acs"	"3"	3.12	8.94	0.44	47	0.47	NA	NA	11	"0"
"acs"	"3"	2.77	7.32	0.65	61	0.48	NA	NA	10	"1"
"acs"	"3"	2.94	8.98	0.34	47	0.58	NA	NA	10	"0"
"acs"	"3"	2.99	8.33	0.59	56	0.42	NA	NA	9	"0"
"acs"	"3"	3.11	9.47	0.49	52	0.44	NA	NA	11	"0"
"acs"	"3"	2.96	9.29	0.42	52	0.59	NA	NA	10	"0"
"acs"	"3"	2.95	8.32	0.54	54	0.41	NA	NA	10	"0"
"acs"	"3"	2.94	8.76	0.34	48	0.5	NA	NA	11	"0"
"acs"	"3"	3.05	9.08	0.43	51	0.59	NA	NA	10	"0"
"acs"	"3"	2.9	8.52	0.59	57	0.42	NA	NA	8	"0"
"acs"	"3"	4.02	2.36	0.18	56	0.54	NA	NA	31	"0"
"acs"	"3"	2.18	2.08	0.12	22	0.25	NA	NA	29	"1"
"mmas"	"3"	3.35	4.48	0.13	9	NA	NA	NA	39	"1"
"acs"	"3"	3.14	4.58	0.15	17	0.61	NA	NA	17	"1"
"mmas"	"3"	4.18	3.13	0.15	21	NA	NA	NA	17	"1"
"acs"	"3"	1.87	7.43	0.05	10	0.69	NA	NA	21	"1"
"acs"	"3"	1.41	2.66	0.39	11	0.96	NA	NA	23	"1"
"mmas"	"3"	4.73	2.54	0.09	23	NA	NA	NA	17	"0"
"acs"	"3"	1.36	3.58	0.41	13	0.97	NA	NA	25	"1"
"mmas"	"3"	2.92	2.69	0.13	22	NA	NA	NA	25	"1"
"mmas"	"3"	2.35	4.24	0.17	19	NA	NA	NA	18	"0"
"mmas"	"3"	3.17	2.82	0.14	21	NA	NA	NA	23	"1"
"mmas"	"3"	2.29	3.17	0.13	14	NA	NA	NA	10	"0"
"mmas"	"3"	3.2	5.11	0.14	19	NA	NA	NA	12	"0"
"mmas"	"3"	3	3.47	0.16	19	NA	NA	NA	14	"0"
"mmas"	"3"	3.11	4.2	0.14	19	NA	NA	NA	13	"0"
"mmas"	"3"	2.91	3.64	0.12	20	NA	NA	NA	12	"0"
"mmas"	"3"	3	2.32	0.16	32	NA	NA	NA	14	"0"
"mmas"	"3"	3.54	4.49	0.18	26	NA	NA	NA	17	"0"
"mmas"	"3"	3.49	4.6	0.16	26	NA	NA	NA	14	"0"
"mmas"	"3"	3.18	3.25	0.11	19	NA	NA	NA	13	"0"
"mmas"	"3"	2.8	3.62	0.15	22	NA	NA	NA	10	"0"
"mmas"	"3"	3.02	2.85	0.13	24	NA	NA	NA	13	"0"
"mmas"	"3"	3.18	2.7	0.15	25	NA	NA	NA	11	"0"
"mmas"	"3"	2.99	3.78	0.15	22	NA	NA	NA	11	"0"
"mmas"	"3"	2.78	3.71	0.15	18	NA	NA	NA	11	"0"
"mmas"	"3"	2.77	3.5	0.17	18	NA	NA	NA	11	"0"
"mmas"	"3"	2.58	3.65	0.16	23	NA	NA	NA	8	"0"
"mmas"	"3"	3.01	5.5	0.27	63	NA	NA	NA	32	"0"
"mmas"	"3"	3.95	1.78	0.13	36	NA	NA	NA	21	"1"
"mmas"	"3"	2.51	3.59	0.36	68	NA	NA	NA	43	"0"
"acs"	"3"	2.08	9.72	0.32	32	0.8	NA	NA	46	"1"
"ras"	"3"	2.38	2.21	0.87	80	NA	10	NA	28	"1"
"ras"	"3"	2.31	2.33	0.88	52	NA	17	NA	29	"0"
"ras"	"3"	2.43	0.78	0.91	74	NA	35	NA	37	"1"
"acs"	"3"	2.65	4.05	0.84	56	0.13	NA	NA	24	"0"
"ras"	"3"	3.11	0.66	0.68	93	NA	21	NA	34	"1"
"ras"	"3"	2.47	1.98	0.84	83	NA	10	NA	31	"1"
"ras"	"3"	2.78	1.58	0.95	95	NA	17	NA	34	"1"
"ras"	"3"	2.69	1.27	0.81	89	NA	17	NA	31	"1"
"ras"	"3"	2.53	3.23	0.74	48	NA	14	NA	26	"1"
"ras"	"3"	2.82	3.04	0.86	58	NA	14	NA	27	"0"
"ras"	"3"	2.44	2.45	0.95	46	NA	18	NA	29	"0"
"ras"	"3"	2.49	3.03	0.77	49	NA	16	NA	21	"1"
"ras"	"3"	2.58	2.46	0.91	49	NA	17	NA	28	"0"
"ras"	"3"	2.75	3.1	0.74	50	NA	17	NA	22	"0"
"ras"	"3"	2.52	2.21	0.98	46	NA	18	NA	28	"0"
"ras"	"3"	2.44	2.83	0.91	51	NA	14	NA	24	"0"
"ras"	"3"	2.85	3.01	0.88	59	NA	11	NA	27	"0"
"ras"	"3"	2.57	3.3	0.72	50	NA	15	NA	20	"0"
"ras"	"3"	2.35	2.43	0.94	49	NA	18	NA	27	"0"
"ras"	"3"	2.4	2.9	0.93	46	NA	15	NA	25	"0"
"ras"	"3"	2.48	2.87	0.91	45	NA	16	NA	25	"0"
"ras"	"3"	2.36	2.76	0.95	47	NA	12	NA	26	"0"
"ras"	"3"	2.47	2.95	0.92	44	NA	15	NA	25	"0"
"eas"	"3"	1.43	2.53	0.53	60	NA	NA	599	33	"1"
"acs"	"3"	2.84	2.93	0.18	39	0.95	NA	NA	12	"0"
"acs"	"3"	2.96	3.09	0.38	29	0.43	NA	NA	8	"1"
"acs"	"3"	2.93	5.76	0.74	13	0.03	NA	NA	10	"0"
"acs"	"3"	3.02	5.27	0.67	12	0.23	NA	NA	8	"0"
"acs"	"3"	2.6	3.13	0.24	32	0.3	NA	NA	14	"0"
"acs"	"3"	1.84	3.96	0.71	22	0.39	NA	NA	12	"0"
"acs"	"3"	2.23	3.3	0.79	41	0.21	NA	NA	13	"0"
"acs"	"3"	2.83	4.83	0.22	32	0.49	NA	NA	12	"0"
"acs"	"3"	2.46	7.68	0.61	31	0.27	NA	NA	12	"0"
"acs"	"3"	2.07	3.47	0.72	44	0.26	NA	NA	12	"0"
"acs"	"3"	2.06	1.63	0.28	29	0.35	NA	NA	17	"0"
"acs"	"3"	2.23	4.43	0.73	21	0.34	NA	NA	14	"0"
"acs"	"3"	1.83	4.4	0.64	35	0.06	NA	NA	8	"0"
"acs"	"3"	2.16	2.47	0.4	26	0.54	NA	NA	17	"0"
"acs"	"3"	2.53	2.82	0.28	31	0.39	NA	NA	13	"0"
"acs"	"3"	2.8	7.36	0.36	31	0.35	NA	NA	11	"0"
"acs"	"3"	1.93	4.31	0.56	38	0.09	NA	NA	8	"0"
"acs"	"3"	2.19	6.58	0.32	36	0.4	NA	NA	9	"0"
"acs"	"3"	3.23	9.02	0.36	43	0.44	NA	NA	8	"0"
"acs"	"3"	2.57	7.27	0.38	16	0.3	NA	NA	12	"0"
"acs"	"3"	2.21	7.29	0.38	20	0.34	NA	NA	12	"0"
"acs"	"3"	3.23	9	0.37	46	0.36	NA	NA	10	"0"
"acs"	"3"	3.28	9.34	0.4	47	0.4	NA	NA	10	"0"
"acs"	"3"	3.01	8.73	0.33	46	0.48	NA	NA	10	"0"
"acs"	"3"	3.22	9.45	0.35	45	0.41	NA	NA	8	"0"
"acs"	"3"	3.09	9.07	0.32	48	0.36	NA	NA	12	"0"
"acs"	"3"	2.91	8.7	0.34	46	0.53	NA	NA	10	"0"
"acs"	"3"	2.87	8.5	0.29	47	0.53	NA	NA	9	"0"
"acs"	"3"	3.4	8.68	0.37	49	0.37	NA	NA	11	"0"
"acs"	"3"	3.1	8.85	0.3	46	0.34	NA	NA	12	"0"
"acs"	"3"	3.12	8.61	0.35	48	0.33	NA	NA	13	"0"
"ras"	"3"	4.73	2.83	0.33	47	NA	57	NA	50	"1"
"acs"	"3"	3.17	8.45	0.64	5	0.87	NA	NA	6	"1"
"mmas"	"3"	2.78	3.61	0.44	96	NA	NA	NA	19	"1"
"acs"	"3"	2.15	9.86	0.81	12	0.6	NA	NA	13	"1"
"eas"	"3"	4.07	9.31	0.4	36	NA	NA	361	37	"1"
"acs"	"3"	4.21	7.89	0.81	11	0.55	NA	NA	29	"0"
"acs"	"3"	3.41	9.83	0.58	12	0.93	NA	NA	27	"1"
"acs"	"3"	3.29	7.73	0.02	6	0.62	NA	NA	11	"1"
"mmas"	"3"	2.65	7.31	0.16	9	NA	NA	NA	13	"1"
"acs"	"3"	3.17	6.17	0.12	17	0.24	NA	NA	16	"1"
"acs"	"3"	4.04	8.52	0.14	10	0.68	NA	NA	15	"1"
"acs"	"3"	2.75	6.29	0.12	33	0.74	NA	NA	10	"0"
"acs"	"3"	2.71	7.06	0.1	9	0.69	NA	NA	10	"1"
"acs"	"3"	2.43	6.5	0.1	34	0.92	NA	NA	9	"0"
"acs"	"3"	2.9	7.85	0.06	33	0.62	NA	NA	8	"0"
"acs"	"3"	3.45	8.93	0.12	25	0.68	NA	NA	20	"1"
"acs"	"3"	2.49	6.24	0.21	41	0.43	NA	NA	18	"1"
"acs"	"3"	2.47	9.01	0.15	34	0.52	NA	NA	10	"0"
"acs"	"3"	2.75	6.25	0.09	32	0.49	NA	NA	10	"0"
"acs"	"3"	3.39	7.74	0.11	42	0.59	NA	NA	10	"0"
"acs"	"3"	3.74	8.04	0.11	43	0.6	NA	NA	10	"0"
"acs"	"3"	3.71	7.33	0.23	52	0.57	NA	NA	11	"0"
"acs"	"3"	3.25	7.84	0.06	36	0.61	NA	NA	11	"0"
"acs"	"3"	3.68	7.87	0.14	42	0.53	NA	NA	9	"0"
"acs"	"3"	3.26	7.06	0.05	31	0.55	NA	NA	11	"0"
"acs"	"3"	3.65	6.83	0.07	41	0.61	NA	NA	14	"0"
"acs"	"3"	3.39	8.32	0.16	45	0.6	NA	NA	8	"0"
"acs"	"3"	3.67	7.49	0.11	46	0.5	NA	NA	8	"0"
"acs"	"3"	2.85	7.46	0.05	30	0.62	NA	NA	8	"0"
"acs"	"3"	3.85	7.62	0.1	40	0.47	NA	NA	9	"0"
"acs"	"3"	3.82	7.64	0.12	46	0.52	NA	NA	8	"0"
"eas"	"3"	2.62	3.85	0.64	75	NA	NA	77	17	"0"
"eas"	"3"	1.45	2.76	0.81	68	NA	NA	464	22	"0"
"acs"	"3"	4.08	7.36	0.5	56	0.65	NA	NA	42	"1"
"acs"	"3"	2.62	6.74	0.97	22	0.09	NA	NA	25	"1"
"mmas"	"3"	0.89	5.65	0.94	34	NA	NA	NA	33	"0"
"ras"	"3"	2.38	0.68	0.8	54	NA	15	NA	43	"1"
"acs"	"3"	1.81	5.7	0.92	44	0.07	NA	NA	17	"0"
"acs"	"3"	2.65	9.5	0.7	31	0.09	NA	NA	24	"1"
"acs"	"3"	2.44	5.55	0.74	42	0.28	NA	NA	36	"0"
"acs"	"3"	3.07	6.86	0.97	56	0.26	NA	NA	18	"0"
"acs"	"3"	2.26	7.66	0.83	36	0.43	NA	NA	22	"0"
"ras"	"3"	2.39	0.43	0.58	51	NA	13	NA	35	"1"
"acs"	"3"	3.16	6.23	0.96	64	0.14	NA	NA	15	"0"
"ras"	"3"	2.41	1.6	0.86	52	NA	18	NA	35	"1"
"acs"	"3"	3.41	5.58	0.9	64	0.04	NA	NA	16	"0"
"acs"	"3"	1.74	3.82	0.82	38	0.06	NA	NA	10	"0"
"ras"	"3"	2.58	0.85	0.65	59	NA	18	NA	35	"1"
"acs"	"3"	3.02	5.35	0.93	64	0.2	NA	NA	13	"0"
"ras"	"3"	2.25	0.48	0.59	53	NA	14	NA	31	"1"
"ras"	"3"	2.46	0.21	0.6	51	NA	17	NA	35	"1"
"ras"	"3"	2.26	0.38	0.64	53	NA	17	NA	32	"1"
"ras"	"3"	2.21	0.03	0.64	53	NA	11	NA	32	"1"
"ras"	"3"	2.35	0.75	0.67	50	NA	16	NA	31	"1"
"ras"	"3"	2.25	0.36	0.66	51	NA	17	NA	31	"1"
"ras"	"3"	2.26	0.25	0.55	49	NA	13	NA	34	"1"
"as"	"3"	4.34	1.06	0.51	65	NA	NA	NA	8	"0"
"eas"	"3"	2.78	5.43	0.44	83	NA	NA	360	45	"0"
"acs"	"3"	4.34	8.36	0.61	10	0.7	NA	NA	42	"0"
"acs"	"3"	2.38	0.57	0.33	44	0.96	NA	NA	40	"0"
"acs"	"3"	4.26	3.87	0.38	13	0.11	NA	NA	40	"1"
"acs"	"3"	1.8	1.27	0.91	42	0.64	NA	NA	34	"0"
"acs"	"3"	2.17	2.78	0.85	15	0.6	NA	NA	24	"1"
"acs"	"3"	2.14	1.62	0.93	46	0.49	NA	NA	29	"0"
"ras"	"3"	2.16	1.4	0.98	68	NA	16	NA	31	"0"
"acs"	"3"	2.5	0.42	0.87	35	0.74	NA	NA	15	"0"
"acs"	"3"	1.14	2.96	0.88	20	0.84	NA	NA	17	"0"
"acs"	"3"	3.3	9.21	0.68	21	0.52	NA	NA	46	"0"
"ras"	"3"	2.61	0.51	0.99	68	NA	37	NA	38	"0"
"acs"	"3"	2.51	0.38	0.92	24	0.83	NA	NA	11	"0"
"ras"	"3"	2.74	1.55	0.93	71	NA	20	NA	35	"0"
"ras"	"3"	2.34	0.7	0.98	71	NA	17	NA	36	"0"
"ras"	"3"	3.05	0.65	1	69	NA	42	NA	34	"0"
"ras"	"3"	2.97	1.45	0.98	77	NA	26	NA	37	"0"
"ras"	"3"	2.47	1.85	0.92	59	NA	14	NA	34	"0"
"ras"	"3"	2.3	0.78	0.98	66	NA	18	NA	35	"0"
"ras"	"3"	2.43	0.92	0.92	66	NA	17	NA	36	"0"
"ras"	"3"	2.61	0.77	0.96	74	NA	24	NA	37	"0"
"ras"	"3"	2.35	0.7	0.94	65	NA	14	NA	33	"0"
"ras"	"3"	2.38	0.89	0.96	62	NA	13	NA	36	"0"
"ras"	"3"	2.8	1.51	0.98	66	NA	20	NA	34	"0"
"ras"	"3"	2.38	1.03	0.9	69	NA	22	NA	34	"0"
"ras"	"3"	2.39	0.79	0.93	64	NA	13	NA	35	"0"
"mmas"	"3"	1.01	1.79	0.74	67	NA	NA	NA	32	"0"
"ras"	"3"	4.48	2.81	0.44	68	NA	49	NA	8	"1"
"acs"	"3"	2.82	2.12	0.19	10	0.21	NA	NA	43	"0"
"mmas"	"3"	4.31	4.68	0.11	32	NA	NA	NA	43	"1"
"acs"	"3"	4.04	0.66	0.01	12	0.16	NA	NA	43	"1"
"acs"	"3"	2.98	7.85	0.36	34	0.52	NA	NA	36	"0"
"acs"	"3"	2.64	5.41	0.6	50	0.67	NA	NA	7	"1"
"mmas"	"3"	3.44	4.67	0.15	16	NA	NA	NA	49	"0"
"acs"	"3"	4.14	6.65	0.25	47	0.24	NA	NA	41	"0"
"acs"	"3"	4.79	0.55	0.33	10	0.53	NA	NA	34	"1"
"mmas"	"3"	4.38	5.61	0.23	69	NA	NA	NA	37	"0"
"acs"	"3"	3.89	1.18	0.34	42	0.06	NA	NA	33	"1"
"acs"	"3"	3.9	8.24	0.18	50	0.17	NA	NA	37	"1"
"acs"	"3"	2.42	8.79	0.42	36	0.1	NA	NA	40	"0"
"acs"	"3"	2.63	7.94	0.32	38	0.24	NA	NA	44	"1"
"mmas"	"3"	4.03	5.79	0.21	28	NA	NA	NA	43	"0"
"acs"	"3"	4.78	9.56	0.24	58	0.28	NA	NA	31	"0"
"acs"	"3"	4.19	8.52	0.21	49	0.43	NA	NA	30	"1"
"mmas"	"3"	2.91	4.55	0.23	21	NA	NA	NA	42	"0"
"mmas"	"3"	3.49	4.5	0.14	11	NA	NA	NA	50	"0"
"mmas"	"3"	3.56	5.16	0.15	18	NA	NA	NA	40	"0"
"mmas"	"3"	3.79	4.38	0.17	17	NA	NA	NA	50	"0"
"mmas"	"3"	3.8	3.74	0.09	16	NA	NA	NA	50	"0"
"mmas"	"3"	3.45	4	0.11	16	NA	NA	NA	47	"0"
"acs"	"3"	4.08	8.34	0.27	51	0.37	NA	NA	28	"1"
"acs"	"3"	4.47	8.35	0.16	47	0.28	NA	NA	28	"1"
"acs"	"3"	4.31	8.78	0.22	49	0.44	NA	NA	29	"1"
